cantidad,Burbuja, Burbuja Mejorada, Burbuja Bidireccional, Selección, Inserción, QuickSort, MergeSort, Arbol Binario
100,0.058954715728759766,0.06682014465332031,0.06888246536254883,0.07500839233398438,0.06014132499694824,0.01635909080505371,0.005660295486450195,0.0014710426330566406
100,0.0658121109008789,0.07406497001647949,0.08481931686401367,0.06432914733886719,0.06049346923828125,0.022885560989379883,0.009030580520629883,0.0023043155670166016
100,0.06221127510070801,0.0724184513092041,0.07568883895874023,0.07648730278015137,0.05689549446105957,0.01734447479248047,0.00690007209777832,0.001971006393432617
100,0.06082296371459961,0.06877946853637695,0.07516932487487793,0.07017660140991211,0.06465291976928711,0.024535655975341797,0.006940364837646484,0.0015180110931396484
100,0.06247735023498535,0.07140111923217773,0.08570170402526855,0.06667709350585938,0.05894875526428223,0.015792369842529297,0.0058383941650390625,0.001500844955444336
200,0.46608543395996094,0.47542810440063477,0.5287706851959229,0.45829153060913086,0.385972261428833,0.07212448120117188,0.017589330673217773,0.0071926116943359375
200,0.5195004940032959,0.5043020248413086,0.5587973594665527,0.4750523567199707,0.41395115852355957,0.07903313636779785,0.01809072494506836,0.006022930145263672
200,0.49283266067504883,0.5377821922302246,0.609797477722168,0.4833247661590576,0.5428316593170166,0.09714722633361816,0.019116640090942383,0.0060083866119384766
200,0.4903450012207031,0.49448704719543457,0.580817699432373,0.4664485454559326,0.4337310791015625,0.08415555953979492,0.024941682815551758,0.025351285934448242
200,0.47460079193115234,0.4799842834472656,0.5603299140930176,0.46439290046691895,0.4069180488586426,0.07598590850830078,0.017713069915771484,0.007206916809082031
300,1.1086030006408691,1.1458508968353271,1.3899238109588623,1.2071428298950195,0.9428222179412842,0.1353304386138916,0.030611038208007812,0.008858203887939453
300,1.1060748100280762,1.107431411743164,1.2774791717529297,1.0512986183166504,0.9306156635284424,0.12326407432556152,0.03138136863708496,0.008466005325317383
300,1.1211979389190674,1.1201889514923096,1.3343408107757568,1.0577313899993896,0.95060133934021,0.1172935962677002,0.024333953857421875,0.009157896041870117
300,1.0838119983673096,1.1015119552612305,1.237259864807129,1.055222749710083,0.9007256031036377,0.12111186981201172,0.05106329917907715,0.013839006423950195
300,1.090501070022583,1.098738431930542,1.261596918106079,1.111504077911377,0.9150314331054688,0.12492895126342773,0.03040313720703125,0.008136272430419922
400,2.877110004425049,2.7424652576446533,2.92999005317688,2.5015811920166016,2.0884053707122803,0.2309274673461914,0.04322934150695801,0.016248703002929688
400,2.58660626411438,2.5818958282470703,2.9559545516967773,2.5050904750823975,2.158040761947632,0.2213907241821289,0.047478437423706055,0.016257047653198242
400,2.600358486175537,2.596242666244507,2.939155340194702,2.5464019775390625,2.162146806716919,0.22921323776245117,0.04284501075744629,0.01973700523376465
400,2.567962169647217,2.571171522140503,2.9586238861083984,2.5235133171081543,2.1307668685913086,0.23612070083618164,0.04334259033203125,0.016275882720947266
400,2.570650100708008,2.5731101036071777,3.005563259124756,2.506394863128662,2.200193166732788,0.25379276275634766,0.05550336837768555,0.016569852828979492
500,5.088481664657593,5.054486513137817,5.796671628952026,5.538867950439453,4.194271802902222,0.35986924171447754,0.06526064872741699,0.025038719177246094
500,5.174161911010742,5.295315742492676,5.86811637878418,5.1281397342681885,4.545189619064331,0.4081881046295166,0.06625890731811523,0.025820493698120117
500,4.994089841842651,5.022879123687744,5.7594215869903564,4.983366250991821,4.127865314483643,0.37404656410217285,0.0652167797088623,0.02853250503540039
500,4.959547281265259,4.9906394481658936,5.712909936904907,4.932372331619263,4.114905595779419,0.3491933345794678,0.06263232231140137,0.02381300926208496
500,5.166316509246826,5.179795980453491,6.010423421859741,5.036133527755737,4.430602073669434,0.4400155544281006,0.06445860862731934,0.027724266052246094
600,8.678867816925049,8.66142463684082,9.774688959121704,9.573271036148071,7.467268228530884,0.570244550704956,0.08775019645690918,0.033365488052368164
600,8.966450214385986,8.941070318222046,10.542022466659546,8.750173807144165,7.594783067703247,0.5360229015350342,0.08601570129394531,0.03531813621520996
600,9.126601696014404,8.973903179168701,10.75141191482544,8.610886812210083,7.587124347686768,0.589057445526123,0.08878183364868164,0.035901784896850586
600,8.802963018417358,8.806223630905151,10.04569387435913,8.725383758544922,7.284151315689087,0.5368683338165283,0.08894205093383789,0.033770084381103516
600,8.70887565612793,8.644858837127686,9.838568687438965,8.73689317703247,7.048084497451782,0.5658881664276123,0.08750629425048828,0.03483462333679199
700,13.869504928588867,13.914622783660889,15.912655353546143,13.849568367004395,11.216248035430908,0.8246288299560547,0.11588478088378906,0.05263495445251465
700,13.996851682662964,13.996606588363647,15.912153959274292,13.779115200042725,11.424988269805908,0.7583627700805664,0.11620378494262695,0.04475712776184082
700,14.105053901672363,14.11702036857605,16.30150294303894,13.808055877685547,11.701897621154785,0.7631301879882812,0.11428308486938477,0.04528450965881348
700,14.092055559158325,14.049774646759033,16.345447778701782,14.163954019546509,11.534080505371094,0.7523193359375,0.11695742607116699,0.08133339881896973
700,14.071321249008179,14.024486303329468,16.994956016540527,14.229001522064209,11.475297451019287,0.8185813426971436,0.12393808364868164,0.05723762512207031
800,20.857688665390015,21.02835440635681,23.658838510513306,21.07740330696106,17.0286865234375,1.0640099048614502,0.14932513236999512,0.05929303169250488
800,20.99535894393921,21.60907292366028,23.769326210021973,20.92626690864563,16.722419500350952,0.985783576965332,0.15751886367797852,0.05364823341369629
800,20.817805528640747,20.86033582687378,23.597699403762817,20.686346769332886,16.87191152572632,1.0206778049468994,0.1497805118560791,0.05512118339538574
800,20.960559606552124,20.919054746627808,23.471229553222656,21.035239934921265,17.035249710083008,1.0916404724121094,0.14970636367797852,0.05733609199523926
800,21.655921459197998,22.595234155654907,25.31413960456848,21.14683771133423,18.204161643981934,1.0049972534179688,0.14930033683776855,0.05809903144836426
900,30.536112785339355,30.68113613128662,35.25465369224548,29.596242427825928,25.574381589889526,1.4899170398712158,0.18782377243041992,0.06876945495605469
900,30.401777267456055,30.539542198181152,34.22186779975891,29.69260597229004,24.98964238166809,1.2171602249145508,0.18275117874145508,0.0674123764038086
900,30.631639003753662,30.622307062149048,36.026076793670654,29.79141855239868,25.379818201065063,1.3148677349090576,0.18330836296081543,0.06803774833679199
900,30.460790872573853,30.295266151428223,34.736656188964844,29.995166778564453,25.0782413482666,1.3339431285858154,0.18416738510131836,0.06859827041625977
900,32.690743923187256,31.097375869750977,37.48112106323242,30.501756191253662,26.87405300140381,1.3149070739746094,0.18215417861938477,0.06722450256347656
1000,42.247971534729004,42.296876430511475,49.261662006378174,41.84267711639404,35.13629722595215,1.7719917297363281,0.22363018989562988,0.08345460891723633
1000,42.72681927680969,42.872498750686646,47.758633852005005,42.35561227798462,34.46269178390503,1.7330403327941895,0.22842907905578613,0.08831024169921875
1000,41.80229139328003,41.58913707733154,48.59868597984314,41.5033495426178,34.6343252658844,1.7354683876037598,0.23175525665283203,0.08320975303649902
1000,42.03036022186279,42.08469009399414,49.05920076370239,41.064539670944214,35.98582649230957,1.6909892559051514,0.2585916519165039,0.08364558219909668
1000,42.41657614707947,42.34001541137695,49.39001178741455,42.20404553413391,35.2707085609436,1.6893932819366455,0.22516131401062012,0.08656477928161621
1,2.1457672119140625e-06,1.430511474609375e-06,9.5367431640625e-07,1.6689300537109375e-06,2.6226043701171875e-06,3.337860107421875e-06,9.5367431640625e-07,8.58306884765625e-06
1,2.6226043701171875e-06,1.430511474609375e-06,2.1457672119140625e-06,1.430511474609375e-06,1.9073486328125e-06,3.814697265625e-06,1.1920928955078125e-06,7.867813110351562e-06
1,4.0531158447265625e-06,2.1457672119140625e-06,2.6226043701171875e-06,2.384185791015625e-06,2.384185791015625e-06,4.5299530029296875e-06,1.6689300537109375e-06,1.0967254638671875e-05
1,4.291534423828125e-06,2.384185791015625e-06,1.6689300537109375e-06,1.430511474609375e-06,2.384185791015625e-06,4.5299530029296875e-06,1.430511474609375e-06,1.0728836059570312e-05
1,1.9073486328125e-06,1.1920928955078125e-06,1.430511474609375e-06,1.430511474609375e-06,1.430511474609375e-06,2.86102294921875e-06,9.5367431640625e-07,7.152557373046875e-06
10,0.00015926361083984375,0.000156402587890625,0.00018310546875,0.00020051002502441406,0.00014519691467285156,0.00014853477478027344,0.00018906593322753906,5.650520324707031e-05
10,0.0002655982971191406,0.00025916099548339844,0.0002562999725341797,0.0002193450927734375,0.0002567768096923828,0.0002913475036621094,0.00030612945556640625,8.20159912109375e-05
10,0.0001347064971923828,0.00012755393981933594,0.00013566017150878906,0.00012087821960449219,9.250640869140625e-05,0.000141143798828125,0.0001678466796875,5.507469177246094e-05
10,0.00018596649169921875,0.0001957416534423828,0.0001811981201171875,0.00015473365783691406,0.00014138221740722656,0.00016880035400390625,0.00021910667419433594,6.29425048828125e-05
10,0.0002334117889404297,0.00023484230041503906,0.0002970695495605469,0.00014281272888183594,0.0002560615539550781,0.00023436546325683594,0.0002396106719970703,7.176399230957031e-05
